Well identifier	Surface	MD
342(G)	BAJ	2834.20
342(G)	top_J1-2	2835.60
342(G)	base_J1-2	2839.00
342(G)	top_J1-3A	2847.40
342(G)	base_J1-3A	2854.00
342(G)	top_J1-3	2854.00
342(G)	base_J1-3	2871.80
345	BAJ	3199.60
345	top_J1-2	3200.60
345	base_J1-2	3206.60
345	top_J1-MU	3209.80
345	base_J1-MU	3210.80
345	top_J1-3A	3214.60
345	base_J1-3A	3220.53
345	top_J1-3	3220.53
345	base_J1-3	3239.60
345(G)	BAJ	2951.00
345(G)	top_J1-2	2952.20
345(G)	base_J1-2	2954.00
345(G)	top_J1-3A	2962.40
345(G)	base_J1-3A	2967.20
345(G)	top_J1-3	2967.20
345(G)	base_J1-3	2985.80
347	BAJ	2899.40
347	top_J1-2	2900.40
347	base_J1-2	2904.80
347	top_J1-3A	2912.80
347	base_J1-3A	2919.30
347	top_J1-3	2919.30
347	base_J1-3	2936.40
347(G)	BAJ	2976.80
347(G)	top_J1-2	2979.00
347(G)	base_J1-2	2982.60
347(G)	top_J1-3A	2991.00
347(G)	base_J1-3A	2996.20
347(G)	top_J1-3	2996.20
347(G)	base_J1-3	3014.40
348(G)	BAJ	2840.00
348(G)	top_J1-2	2842.20
348(G)	base_J1-2	2844.40
348(G)	top_J1-3A	2853.00
348(G)	base_J1-3	2883.00
350	BAJ	3090.70
350	top_J1-2	3091.70
350	base_J1-2	3097.10
350	top_J1-3A	3103.50
350	base_J1-3A	3110.30
350	top_J1-3	3110.30
350	base_J1-3	3125.50
352(G)	BAJ	3417.80
